46.66828021,-35.21823407,1509041854,,,eucl,X,Y,,
31.07322845,-46.30467733,1509041912,0.421619566,0.6180089,0.156183142,,,,
30.80536791,-46.95009673,1509041912,0.26786054,0.645419404,0.618208085,,,,
30.952078,-46.91089825,1509041912,0.146710086,0.039198485,0.410025339,,,,
31.50785531,-46.89971383,1509041912,0.555777307,0.011184418,0.392160458,,,,
31.67881847,-46.98644888,1509041912,0.170963163,0.086735057,0.427768888,,,,
31.32689339,-47.46079071,1509041912,0.351925075,0.474341827,0.332782,,,,
31.61773457,-47.60800471,1509041912,0.290841174,0.147213998,0.269237068,,,,
31.55823323,-47.59852407,1509041912,0.059501334,0.009480642,0.221807957,,,,
31.27817254,-47.56554158,1509041912,0.280060697,0.03298249,0.595321666,,,,
31.41019058,-48.17514462,1509041912,0.132018039,0.609603038,0.93096,,,,
30.55095523,-48.2035063,1509041912,0.859235341,0.02836168,0.161404607,,,,
31.27786273,-48.32428437,1509041912,0.726907501,0.120778073,0.704992197,,,,
31.30170547,-48.49715786,1509041912,0.023842734,0.172873489,0.221203806,,,,
31.48475667,-48.51646121,1509041912,0.183051203,0.019303351,0.125883093,,,,
31.42383299,-48.46663865,1509041912,0.060923683,0.049822557,0.530452821,,,,
31.27635672,-49.03980512,1509041912,0.147476266,0.573166465,0.555261053,,,,
31.4582496,-49.05877817,1509041912,0.181892874,0.018973057,0.392167427,,,,
30.98541763,-49.3407146,1509041912,0.472831967,0.281936428,0.652748471,,,,
32.05315222,-49.32742559,1509041912,1.067734591,0.013289013,0.274467336,,,,
31.25249543,-49.40397412,1509041912,0.800656791,0.076548534,0.357330985,,,,
30.62232144,-49.79456254,1509041912,0.63017399,0.390588416,0.550976487,,,,
30.79130593,-49.88368895,1509041912,0.168984493,0.089126416,0.176649196,,,,
30.45152417,-49.74947119,1509041912,0.339781766,0.134217764,0.057198766,,,,
30.15838087,-49.91680318,1509041912,0.293143297,0.167331991,0.160289101,,,,
30.36574162,-49.88487411,1509041912,0.207360749,0.031929073,0.186625743,,,,
30.43842453,-50.04599702,1509041912,0.072682913,0.161122913,0.388773241,,,,
30.72981734,-49.56345443,1509041912,0.291392813,0.482542597,0.375367082,,,,
30.07486298,-50.13939641,1509041912,0.654954364,0.575941982,0.524288101,,,,
30.80103438,-50.0828831,1509041912,0.726171397,0.056513309,0.308270217,,,,
30.36723944,-49.92866344,1509041912,0.433794935,0.154219659,0.393490556,,,,
31.19032919,-50.02557369,1509041912,0.823089745,0.096910253,0.252776254,,,,
30.43909759,-49.68631608,1509041912,0.751231597,0.339257609,0.319393959,,,,
31.19097542,-49.66645178,1509041912,0.75187783,0.019864304,0.475270204,,,,
30.6597982,-49.22566824,1509041912,0.531177218,0.440783545,0.429140194,,,,
30.98565442,-49.16171966,1509041912,0.325856217,0.063948577,0.291477614,,,,
31.08169881,-49.40496052,1509041913,0.096044392,0.243240865,0.4189553,,,,
31.42330536,-48.82227486,1509041913,0.341606548,0.582685663,0.658157004,,,,
31.44684524,-48.81578729,1509041913,0.02353988,0.006487575,0.282515792,,,,
31.642202,-48.58503618,1509041913,0.195356761,0.230751106,0.045196241,,,,
31.81195019,-48.31704395,1509041913,0.169748185,0.267992226,0.773544521,,,,
32.73909346,-47.89181367,1509041913,0.927143273,0.425230283,0.585664603,,,,
33.08060515,-47.47280251,1509041913,0.341511691,0.419011158,0.064278071,,,,
33.42128252,-47.82754101,1509041913,0.340677371,0.354738502,0.406611638,,,,
33.30358974,-47.81281853,1509041913,0.117692779,0.014722479,0.95686396,,,,
34.37219834,-47.93406676,1509041913,1.068608601,0.121248231,0.705297433,,,,
34.88962951,-47.3727641,1509041913,0.51743117,0.561302669,0.460288543,,,,
34.9512781,-47.86981897,1509041913,0.061648587,0.497054875,0.574790796,,,,
35.43225308,-47.76589236,1509041913,0.480974981,0.103926607,0.196964291,,,,
35.77935915,-47.51748722,1509041913,0.347106072,0.248405144,0.294308863,,,,
35.65600076,-47.57469957,1509041913,0.123358395,0.057212351,0.30333048,,,,
35.737613,-47.93235599,1509041913,0.081612248,0.357656421,0.13545325,,,,
35.81617417,-47.71011845,1509041913,0.078561166,0.222237538,0.483468077,,,,
36.37207473,-48.00909249,1509041913,0.555900554,0.298974035,0.134134626,,,,
35.89150174,-47.59913262,1509041913,0.480572983,0.409959868,0.171245577,,,,
36.37557453,-47.36038256,1509041913,0.484072789,0.238750058,0.437221679,,,,
36.30368601,-47.26746436,1509041913,0.071888526,0.092918207,0.421183965,,,,
36.38188943,-46.75340953,1509041913,0.078203424,0.514054829,0.147009543,,,,
36.58118258,-46.32271586,1509041913,0.199293152,0.430693665,0.254692563,,,,
36.80180539,-45.63822435,1509041913,0.22062281,0.684491513,0.454979391,,,,
36.93473082,-45.40018039,1509041913,0.132925426,0.238043963,0.200528401,,,,
37.23407033,-45.05025259,1509041913,0.299339513,0.349927792,0.313239333,,,,
37.76462602,-44.9116491,1509041913,0.530555689,0.138603492,0.229036507,,,,
37.44500205,-44.68379577,1509041913,0.319623976,0.227853331,0.200691903,,,,
37.6408696,-44.6139348,1509041913,0.19586755,0.069860968,0.558843796,,,,
38.38563729,-44.43912135,1509041913,0.744767691,0.174813453,0.463060782,,,,
38.6701282,-44.56323399,1509041913,0.28449091,0.124112636,0.293285495,,,,
38.65444512,-44.32182373,1509041913,0.015683081,0.241410259,0.385754373,,,,
38.25634301,-44.02979604,1509041913,0.398102108,0.292027687,0.068825171,,,,
38.60921342,-44.2699489,1509041913,0.352870408,0.240152862,0.201837637,,,,
38.84966639,-44.34246897,1509041913,0.24045298,0.072520068,0.136277899,,,,
38.95928247,-44.308072,1509041913,0.109616078,0.034396968,1.264052839,,,,
40.27327652,-44.72627009,1509041913,1.313994042,0.418198087,0.805569822,,,,
39.74749301,-44.47440568,1509041913,0.525783509,0.251864406,0.473543236,,,,
39.68974487,-44.29455577,1509041913,0.057748138,0.179849912,0.162586115,,,,
39.84636374,-44.34533662,1509041913,0.156618875,0.050780853,0.36797268,,,,
40.37031305,-44.27282458,1509041913,0.523949311,0.07251204,0.374333839,,,,
40.22044576,-44.35906509,1509041913,0.149867298,0.086240504,0.181100871,,,,
39.91928551,-44.1732858,1509041913,0.301160247,0.185779285,0.279580489,,,,
39.94345112,-44.02544361,1509041913,0.024165614,0.147842192,0.174294947,,,,
40.07892594,-44.01172445,1509041913,0.135474822,0.013719157,0.275125578,,,,
40.00170947,-44.29433029,1509041913,0.077216478,0.282605841,0.458463086,,,,
39.52293316,-43.79050487,1509041913,0.478776308,0.503825422,0.248889744,,,,
39.2733265,-44.19723561,1509041914,0.249606659,0.406730743,0.373069579,,,,
39.50174594,-44.23149889,1509041914,0.228419445,0.034263278,1.033353161,,,,
38.23999364,-44.19075794,1509041914,1.261752303,0.040740947,1.148170568,,,,
38.35507856,-44.09128396,1509041914,0.115084921,0.099473989,0.433040676,,,,
37.81950531,-44.29426537,1509041914,0.535573257,0.202981415,0.322210189,,,,
37.19806805,-43.78072514,1509041914,0.621437258,0.513540233,0.644036631,,,,
37.08973247,-43.90502271,1509041914,0.108335578,0.124297574,0.260869203,,,,
36.72239127,-43.74959913,1509041914,0.367341201,0.155423578,0.360695299,,,,
