6.3928563432,-14.2893063742,1506365905.13421,Time,X,Y,,
10.6467123048,39.5048773287,1506365907.50175,0.0187740326,1.6119838481,1.0062964265,,
8.4511868244,39.7900848917,1506365907.52425,0.0224978924,2.1955254804,0.285207563,,
5.1042594025,38.6860019737,1506365907.54426,0.0200130939,3.3469274219,1.1040829179,,
3.2904882958,37.1434200526,1506365907.56301,0.0187489986,1.8137711067,1.5425819211,,
2.752925243,34.7379930736,1506365907.58301,0.0199968815,0.5375630528,2.405426979,,
2.5869426324,31.120258552,1506365907.60301,0.0199999809,0.1659826106,3.6177345216,,
4.9481783052,22.3239245046,1506365907.62427,0.0212609768,2.3612356728,8.7963340474,,
7.0279072514,17.2592361184,1506365907.64425,0.0199830532,2.0797289462,5.0646883862,,
8.7505822548,12.0929362824,1506365907.6655,0.0212421417,1.7226750035,5.1662998361,,
9.3713505684,7.4813945565,1506365907.6855,0.0200028419,0.6207683136,4.6115417259,,
11.2960086291,-0.3920554494,1506365907.70427,0.0187671185,1.9246580607,7.8734500059,,
11.1290570412,-3.3511170944,1506365907.72675,0.022482872,0.1669515878,2.959061645,,
11.1967291307,-8.5134437019,1506365907.74675,0.0199999809,0.0676720895,5.1623266075,,
11.1967291307,-8.5134437019,1506365907.76427,0.0175161362,0,0,,
10.3574799349,-11.5426651471,1506365907.78925,0.0249810219,0.8392491959,3.0292214452,,
9.6087466668,-11.9112317932,1506365907.80925,0.0199999809,0.7487332681,0.3685666461,,
9.2670519614,-12.020928915,1506365907.82675,0.0175039768,0.3416947054,0.1096971218,,
8.9633621154,-11.872184891,1506365907.84551,0.0187609196,0.3036898459,0.148744024,,
7.4189010755,-10.3860199246,1506365907.86552,0.0200109482,1.5444610399,1.4861649664,,
6.9536527951,-9.4184064565,1506365907.88675,0.0212240219,0.4652482805,0.967613468,,
6.6546618248,-8.131483305,1506365907.90675,0.020001173,0.2989909702,1.2869231515,,
6.427761456,-7.2252731048,1506365907.92673,0.0199799538,0.2269003688,0.9062102002,,
6.7642556474,-5.6694777498,1506365907.94676,0.0200378895,0.3364941913,1.555795355,,
7.4750514376,-5.1668932763,1506365907.96924,0.0224790573,0.7107957902,0.5025844735,,
7.87786205,-5.00591197,1506365907.988,0.0187530518,0.4028106124,0.1609813063,,
9.5670710308,-5.6029664987,1506365908.01675,0.0287480354,1.6892089807,0.5970545287,,
10.7537242892,-6.5448121606,1506365908.063,0.0462539196,1.1866532584,0.9418456619,,
14.7849224505,-11.6584797682,1506365908.08925,0.0262470245,4.0311981613,5.1136676076,,
17.437499813,-16.414782089,1506365908.11798,0.0287330151,2.6525773626,4.7563023208,,
18.5840906526,-18.548985637,1506365908.1405,0.0225200653,1.1465908396,2.134203548,,
19.8030698783,-22.9395053512,1506365908.15924,0.0187427998,1.2189792257,4.3905197141,,
19.7864403819,-24.626168721,1506365908.1805,0.021253109,0.0166294964,1.6866633698,,
19.663019438,-25.8972879478,1506365908.20175,0.0212519169,0.1234209439,1.2711192268,,
18.7794047522,-26.4995447255,1506365908.22047,0.0187261105,0.8836146858,0.6022567777,,
16.383789967,-26.0001809918,1506365908.24046,0.0199859142,2.3956147852,0.4993637337,,
15.6022426837,-24.9079645628,1506365908.26172,0.0212600231,0.7815472834,1.092216429,,
14.2755486852,-23.3127045416,1506365908.28049,0.0187749863,1.3266939985,1.5952600212,,
12.6479103741,-21.4344905308,1506365908.30174,0.0212450027,1.6276383111,1.8782140109,,
6.2888371995,-15.1346477189,1506365908.32175,0.0200150013,6.3590731746,6.2998428119,,
