-0.9563653848,39.0315346684,1506366290.75149,Time,X,Y
8.0796320802,2.2624509825,1506366292.33024,0.0186159611,2.7616043069,0.7287099548
9.4663888686,2.8582172481,1506366292.35025,0.0200171471,1.3867567884,0.5957662656
10.721203262,3.5709146823,1506366292.37027,0.020018816,1.2548143934,0.7126974342
11.4908762686,4.4324706048,1506366292.39277,0.0225021839,0.7696730067,0.8615559224
14.0153995917,7.4622436274,1506366292.41164,0.018860817,2.524523323,3.0297730226
15.8033543068,9.4615087607,1506366292.43164,0.0200061798,1.7879547151,1.9992651333
17.0993798971,12.1207745179,1506366292.45275,0.0211098194,1.2960255903,2.6592657572
16.5932641975,15.3840355607,1506366292.47279,0.0200371742,0.5061156996,3.2632610428
10.3801445073,22.5353567538,1506366292.49273,0.0199418068,6.2131196903,7.1513211932
6.0228973218,25.9772597196,1506366292.51273,0.0200021267,4.3572471854,3.4419029658
2.4733675991,28.0980221892,1506366292.53273,0.0199999809,3.5495297228,2.1207624696
0.1110034068,30.0324362125,1506366292.55402,0.0212879181,2.3623641922,1.9344140232
-3.5829299315,30.5680869569,1506366292.57399,0.0199651718,3.6939333383,0.5356507444
-4.6438824218,26.63395007,1506366292.60525,0.031264782,1.0609524904,3.9341368868
-3.9171560269,23.9081036804,1506366292.62523,0.0199840069,0.7267263949,2.7258463897
-2.315064238,21.1357654531,1506366292.64533,0.0200970173,1.6020917889,2.7723382273
0.0639497828,17.9154085419,1506366292.66529,0.0199580193,2.3790140209,3.2203569112
5.824129144,12.5578372707,1506366292.6852,0.0199081898,5.7601793611,5.3575712712
8.1916788818,10.9450682963,1506366292.70663,0.0214328766,2.3675497378,1.6127689744
10.2684163109,9.844056178,1506366292.72663,0.0200021267,2.0767374291,1.1010121184
12.2273617258,9.2452884141,1506366292.74663,0.0199978352,1.9589454149,0.5987677638
15.0841491557,9.3237281962,1506366292.76663,0.0199959278,2.8567874299,0.078439782
16.8797696195,10.0305563933,1506366292.79775,0.0311272144,1.7956204638,0.7068281971
18.2901502017,12.2338652514,1506366292.81774,0.0199868679,1.4103805822,2.2033088581
18.7554250268,13.0722465678,1506366292.83777,0.0200340748,0.465274825,0.8383813164
19.439575566,13.6318058333,1506366292.859,0.0212290287,0.6841505392,0.5595592655
